Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-04-07 07:46:54","DPT-RM","H6323-RDashboard 2025 V.1.xlsb","xlsb","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Daily Report","4.387","0","0.000","4.387"
"2026-04-07 07:46:54","DPT-RM","PBKP-Master MB V101.xlsb","xlsb","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Daily Report","0.928","4","3.710","4.638"
"2026-04-07 07:46:54","DPT-RM","H6323_MASTER_SegConverter (3).xlsb","xlsb","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Daily Report","3.559","0","0.000","3.559"
"2026-04-07 07:46:54","DPT-RM","H6323-RDashboard 2025.xlsb","xlsb","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Daily Report","4.387","0","0.000","4.387"
"2026-04-07 07:46:54","DPT-RM","Rooms products form(loading form1.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/DATAWEB FORM","0.363","0","0.000","0.363"
"2026-04-07 07:46:55","DPT-RM","2 Emerging Leaders PLDP Template .docx","docx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Evaluation","0.073","0","0.000","0.073"
"2026-04-07 07:46:55","DPT-RM","2 Emerging Leaders PLDP Template 2023 .docx","docx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Evaluation","0.053","0","0.000","0.053"
"2026-04-07 07:46:55","DPT-RM","Rate  & Room Size Comparison 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.023","0","0.000","0.023"
"2026-04-07 07:46:55","DPT-RM","Bokking.com event.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.555","0","0.000","0.555"
"2026-04-07 07:46:55","DPT-RM","Room rate indigo 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.024","0","0.000","0.024"
"2026-04-07 07:46:55","DPT-RM","RFP AHBO Consortia Summary - MAY 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.092","0","0.000","0.092"
"2026-04-07 07:46:55","DPT-RM","SiteMinder production _2025-01-01_2025-11-30.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.019","2","0.036","0.055"
"2026-04-07 07:46:55","DPT-RM","Rate Survey 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.022","0","0.000","0.022"
"2026-04-07 07:46:55","DPT-RM","Distribution Roadshow Approval Form Bangkok.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.193","0","0.000","0.193"
"2026-04-07 07:46:55","DPT-RM","GDS.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","5.530","0","0.000","5.530"
"2026-04-07 07:46:55","DPT-RM","ALPP - Webinar Presentation 2025 - 20250821.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","3.219","0","0.000","3.219"
"2026-04-07 07:46:55","DPT-RM","CREW.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.022","0","0.000","0.022"
"2026-04-07 07:46:55","DPT-RM","ROOM BREAKDOWN INDIGO 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.022","0","0.000","0.022"
"2026-04-07 07:46:55","DPT-RM","MEMORANDUM_Discount and Cashback 2567_King power.docx","docx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","1.219","0","0.000","1.219"
