Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB),Last Datetime of Original Version,First Datetime of History Version,Age (Years),Priority,Recommended Action,Reason,Scanned At
DPT-SC,Danone_Synbiotic_Presentation update (1).pptx,pptx,/sites/H6323_SPOF/DPT-SC/May (Sunisa)/Profile/2025/04 Apr/Maxsysmedia 3-4 Apr 25,66.423,2,133.848,200.271,2025-03-26 10:32:19,2025-03-25 15:21:17,1.1,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 09:59:15
DPT-SC,TSRI Policy - presentation.pdf,pdf,/sites/H6323_SPOF/DPT-SC/May (Sunisa)/Profile/2025/11 Nov/TSRI 14 Nov 25,120.086,0,0.0,120.086,2025-11-11 11:28:18,-,0.5,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 09:59:35
DPT-SC,Meeting 2901 for client NEWALLASIA Print.pdf,pdf,/sites/H6323_SPOF/DPT-SC/1 KK/KP Events/2020/February 2020/King Power - All Asia Cup 1-9 Feb 2020/Presentation,251.823,0,0.0,251.823,2020-01-29 15:21:00,-,6.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:01:07
DPT-SC,14 NOV_Digital signage - Infinity.mp4,mp4,"/sites/H6323_SPOF/DPT-SC/BEO/BEO 2024/11 Nov 24/May (Sangthip)/11 - 15 November 2024 Airports of Thailand Public Co., Ltd. (AOT)/Digital signage",178.392,0,0.0,178.392,2024-11-12 14:20:58,-,1.5,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:03:26
DPT-SC,VTR_LOOP_Full HD.mp4,mp4,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2025/02 February/07/Sangthip (May)/7 February 2025 Bank of Ayudhya PCL,300.344,0,0.0,300.344,2025-02-05 10:34:49,-,1.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:04:37
DPT-SC,Motion Screen.mp4,mp4,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2025/04 April/25/Sunisa (May)/DRAFT - BEO 515874 The Wedding Connect on 25 Apr 2025,189.794,0,0.0,189.794,2025-04-24 10:21:49,-,1.0,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:06:04
DPT-SC,vardy farewell.psd,psd,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2025/05 May/18/Ornprapha (Madam)/18 LCFC,120.087,0,0.0,120.087,2025-05-14 12:10:33,-,1.0,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:06:33
DPT-SC,wooni final test.mp4,mp4,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2025/07 July/05/Juthamas (Nampetch)/05 July 2025 Dimerco Express Group,209.388,0,0.0,209.388,2025-06-20 09:54:48,-,0.9,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:07:27
DPT-SC,Digital signage.gif,gif,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2025/11 November/08/Sunisa (May)/BEO 506726 World Business Outlook Pte. Ltd on 8 Nov 25,158.149,0,0.0,158.149,2025-11-08 11:37:56,-,0.5,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:10:15
DPT-SC,Agenda GPP Low-carbon Cement National Dialouge.pdf,pdf,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2026/03 March/17/Wannakarn/BEO 723120_Thailand Environment Institute HD Meeting on17 Mar 2026,143.363,0,0.0,143.363,2026-03-11 11:36:30,-,0.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:12:48
